subject_id,age,education_code,education_name,gender_code,gender_name,handedness_code,handedness_name,spectacle_code,spectacle_name,text2_category_code,text2_category_name,path_full_form,path_text1_image,path_text2_image,path_json,path_chars_folder,text1_word_count,text1_char_count,text2_word_count,text2_char_count,total_word_count,total_char_count,lines_text1,lines_text2,lines_total
1,18,3,High School,0,Female,0,Right-handed,1,Uses glasses,3,Technology,MPHD\001-183001_3\001-183001_3.png,MPHD\001-183001_3\001-T1.png,MPHD\001-183001_3\001-T2-3.png,MPHD\001-183001_3\001-183001_3.json,MPHD\001-183001_3\Chars,80,368,71,302,151,670,5,5,10
2,18,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\002-183000_3\002-183000_3.png,MPHD\002-183000_3\002-T1.png,MPHD\002-183000_3\002-T2-3.png,MPHD\002-183000_3\002-183000_3.json,MPHD\002-183000_3\Chars,80,368,68,306,148,674,5,4,9
3,18,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\003-183000_3\003-183000_3.png,MPHD\003-183000_3\003-T1.png,MPHD\003-183000_3\003-T2-3.png,MPHD\003-183000_3\003-183000_3.json,MPHD\003-183000_3\Chars,80,368,81,346,161,714,5,5,10
4,18,3,High School,0,Female,0,Right-handed,1,Uses glasses,3,Technology,MPHD\004-183001_3\004-183001_3.png,MPHD\004-183001_3\004-T1.png,MPHD\004-183001_3\004-T2-3.png,MPHD\004-183001_3\004-183001_3.json,MPHD\004-183001_3\Chars,80,368,94,377,174,745,5,5,10
5,18,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\005-183000_3\005-183000_3.png,MPHD\005-183000_3\005-T1.png,MPHD\005-183000_3\005-T2-3.png,MPHD\005-183000_3\005-183000_3.json,MPHD\005-183000_3\Chars,80,368,80,360,160,728,5,5,10
6,18,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\006-183000_3\006-183000_3.png,MPHD\006-183000_3\006-T1.png,MPHD\006-183000_3\006-T2-3.png,MPHD\006-183000_3\006-183000_3.json,MPHD\006-183000_3\Chars,80,368,77,305,157,673,6,5,11
7,18,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\007-183000_3\007-183000_3.png,MPHD\007-183000_3\007-T1.png,MPHD\007-183000_3\007-T2-3.png,MPHD\007-183000_3\007-183000_3.json,MPHD\007-183000_3\Chars,80,368,94,382,174,750,5,5,10
8,17,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\008-173000_3\008-173000_3.png,MPHD\008-173000_3\008-T1.png,MPHD\008-173000_3\008-T2-3.png,MPHD\008-173000_3\008-173000_3.json,MPHD\008-173000_3\Chars,80,368,63,269,143,637,5,4,9
9,17,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\009-173000_3\009-173000_3.png,MPHD\009-173000_3\009-T1.png,MPHD\009-173000_3\009-T2-3.png,MPHD\009-173000_3\009-173000_3.json,MPHD\009-173000_3\Chars,80,368,76,321,156,689,6,5,11
10,17,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\010-173000_3\010-173000_3.png,MPHD\010-173000_3\010-T1.png,MPHD\010-173000_3\010-T2-3.png,MPHD\010-173000_3\010-173000_3.json,MPHD\010-173000_3\Chars,80,368,60,243,140,611,5,4,9
11,18,3,High School,0,Female,0,Right-handed,1,Uses glasses,3,Technology,MPHD\011-183001_3\011-183001_3.png,MPHD\011-183001_3\011-T1.png,MPHD\011-183001_3\011-T2-3.png,MPHD\011-183001_3\011-183001_3.json,MPHD\011-183001_3\Chars,80,368,74,319,154,687,5,5,10
12,18,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\012-183000_3\012-183000_3.png,MPHD\012-183000_3\012-T1.png,MPHD\012-183000_3\012-T2-3.png,MPHD\012-183000_3\012-183000_3.json,MPHD\012-183000_3\Chars,80,368,72,301,152,669,6,6,12
13,18,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\013-183000_3\013-183000_3.png,MPHD\013-183000_3\013-T1.png,MPHD\013-183000_3\013-T2-3.png,MPHD\013-183000_3\013-183000_3.json,MPHD\013-183000_3\Chars,80,368,55,248,135,616,5,4,9
14,18,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\014-183000_3\014-183000_3.png,MPHD\014-183000_3\014-T1.png,MPHD\014-183000_3\014-T2-3.png,MPHD\014-183000_3\014-183000_3.json,MPHD\014-183000_3\Chars,80,368,75,326,155,694,5,5,10
15,17,3,High School,0,Female,1,Left-handed,0,No glasses,3,Technology,MPHD\015-173010_3\015-173010_3.png,MPHD\015-173010_3\015-T1.png,MPHD\015-173010_3\015-T2-3.png,MPHD\015-173010_3\015-173010_3.json,MPHD\015-173010_3\Chars,80,368,67,284,147,652,5,4,9
16,17,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\016-173000_3\016-173000_3.png,MPHD\016-173000_3\016-T1.png,MPHD\016-173000_3\016-T2-3.png,MPHD\016-173000_3\016-173000_3.json,MPHD\016-173000_3\Chars,80,368,60,311,140,679,5,4,9
17,17,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\017-173000_3\017-173000_3.png,MPHD\017-173000_3\017-T1.png,MPHD\017-173000_3\017-T2-3.png,MPHD\017-173000_3\017-173000_3.json,MPHD\017-173000_3\Chars,80,368,67,303,147,671,5,4,9
18,17,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\018-173000_3\018-173000_3.png,MPHD\018-173000_3\018-T1.png,MPHD\018-173000_3\018-T2-3.png,MPHD\018-173000_3\018-173000_3.json,MPHD\018-173000_3\Chars,80,368,65,287,145,655,5,6,11
19,18,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\019-183000_3\019-183000_3.png,MPHD\019-183000_3\019-T1.png,MPHD\019-183000_3\019-T2-3.png,MPHD\019-183000_3\019-183000_3.json,MPHD\019-183000_3\Chars,80,368,94,365,174,733,5,5,10
20,17,3,High School,0,Female,1,Left-handed,1,Uses glasses,3,Technology,MPHD\020-173011_3\020-173011_3.png,MPHD\020-173011_3\020-T1.png,MPHD\020-173011_3\020-T2-3.png,MPHD\020-173011_3\020-173011_3.json,MPHD\020-173011_3\Chars,80,368,74,320,154,688,7,6,13
21,18,3,High School,0,Female,0,Right-handed,0,No glasses,3,Technology,MPHD\021-183000_3\021-183000_3.png,MPHD\021-183000_3\021-T1.png,MPHD\021-183000_3\021-T2-3.png,MPHD\021-183000_3\021-183000_3.json,MPHD\021-183000_3\Chars,80,368,92,451,172,819,5,6,11
22,18,3,High School,0,Female,0,Right-handed,1,Uses glasses,3,Technology,MPHD\022-183001_3\022-183001_3.png,MPHD\022-183001_3\022-T1.png,MPHD\022-183001_3\022-T2-3.png,MPHD\022-183001_3\022-183001_3.json,MPHD\022-183001_3\Chars,80,368,100,381,180,749,6,6,12
